,key,start,finish,called_from,time
24351,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 52, 0, 0, 0)",memory,released,tcp://10.201.3.17:35547,1713455798.5992422
24352,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 53, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455798.5992649
24353,"('getitem-ea35bbf75623b445179cd45124aa6b3a', 0, 0, 0)",released,waiting,tcp://10.201.3.17:35547,1713455798.6048567
24354,"('getitem-1c35ea448529095c6cd33b2da8dd8e5a', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455798.6049075
24355,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 146, 0, 0, 0)",memory,released,tcp://10.201.3.17:42345,1713455798.6049569
24356,"('getitem-ea35bbf75623b445179cd45124aa6b3a', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:35547,1713455798.6103475
24357,"('getitem-1c35ea448529095c6cd33b2da8dd8e5a', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:33095,1713455798.6103566
24358,"('getitem-bc7efe55d3e02b3b7eb4d9178b0edf89', 0, 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455798.6105702
24359,"('getitem-1c35ea448529095c6cd33b2da8dd8e5a', 0, 0, 0)",ready,executing,tcp://10.201.3.17:33095,1713455798.6160755
24360,"('getitem-ea35bbf75623b445179cd45124aa6b3a', 0, 0, 0)",ready,executing,tcp://10.201.3.17:35547,1713455798.616072
24361,"('getitem-bc7efe55d3e02b3b7eb4d9178b0edf89', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455798.6167035
24362,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 144, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455798.6219707
24363,"('getitem-cda7075e81287c2bbc70404772e5c19f', 0, 0, 0)",executing,memory,tcp://10.201.3.17:35547,1713455798.62418
24364,"('getitem-778ed1876c5a12b57e3337943bf6ee09', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.624936
24365,"('getitem-cfeb79c1f7764190b1c12ac0d7a95fde', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455798.6274228
24366,"('getitem-27249a25c9a433f85e360e66df48542e', 0, 0, 0)",executing,memory,tcp://10.201.3.17:35547,1713455798.627552
24367,"('getitem-1dc7bf2317f80dcf263ae4e27dacb12d', 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455798.6276622
24368,"('getitem-cfeb79c1f7764190b1c12ac0d7a95fde', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:33095,1713455798.6329057
24369,"('getitem-5cbccc7cf4d59671eeee194003c26651', 0, 0, 0)",executing,memory,tcp://10.201.3.17:35547,1713455798.633064
24370,"('getitem-c71487d3f0023fe91266740d5b396d5c', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.6331666
24371,"('getitem-cfeb79c1f7764190b1c12ac0d7a95fde', 0, 0, 0)",ready,executing,tcp://10.201.3.17:33095,1713455798.6384356
24372,"('getitem-bc7efe55d3e02b3b7eb4d9178b0edf89', 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455798.638469
24373,"('getitem-329cb986dd27142ee8341157c2e47cf3', 0, 0, 0)",executing,memory,tcp://10.201.3.17:35547,1713455798.6385992
24374,"('getitem-26c12dece75263d339e576d735e85ef4', 0, 0, 0)",executing,memory,tcp://10.201.3.17:35547,1713455798.6443768
24375,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 75, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455798.6445317
24376,"('getitem-37e20fc4b65baea2e4005c89103d4518', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.644666
24377,"('getitem-4b7fe5e40ec343e59323b68b6f6da36d', 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455798.6498742
